DiscourseId	Expression.Lit	Expression.Met	Original.Expression	Expression.MetLit	Discourse.Median.MetLit	Discourse.MetLit
d1	experience freedom	taste freedom	met	lit	4.0	met
d2	story intrigue	story grab	met	met	4.0	met
d3	make remark	throw remark	lit	lit	2.0	lit
d4	decrease appetite	dull appetite	lit	lit	1.0	lit
d5	stimulate debate	fuel debate	lit	met	4.0	met
d6	reject past	disown past	met	met	5.0	met
d7	drink alcohol	abuse alcohol	met	tie	2.0	lit
d8	pose question	frame question	met	lit	3.0	lit
d9	stimulate debate	fuel debate	lit	tie	2.0	lit
d10	understand meaning	grasp meaning	met	tie	4.0	met
d11	instill life	breathe life	met	met	3.5	met
d12	pose question	frame question	met	met	4.0	met
d13	instill life	breathe life	lit	met	3.0	lit
d14	cause excitement	stir excitement	met	met	3.0	lit
d15	result appear	result emerge	met	met	1.0	lit
d16	view represent	view reflect	lit	met	3.0	lit
d17	attract worker	suck worker	lit	lit	2.0	lit
d18	discuss idea	float idea	lit	-	2.0	lit
d19	urge someone	push someone	lit	lit	4.0	met
d20	practise profession	follow profession	lit	lit	1.0	lit
d21	recall feeling	recapture feeling	lit	lit	4.0	met
d22	decrease appetite	dull appetite	met	met	4.0	met
d23	improve economy	boost economy	lit	lit	4.0	met
d24	organise production	mount production	lit	lit	4.0	met
d25	pose question	frame question	met	lit	4.0	met
d26	pose question	frame question	met	lit	3.0	lit
d27	improve economy	boost economy	lit	lit	4.0	met
d28	saturate market	flood market	met	met	4.0	met
d29	recall feeling	recapture feeling	lit	lit	3.5	met
d30	attract worker	suck worker	lit	lit	4.0	met
d31	cause excitement	stir excitement	met	tie	4.0	met
d32	understand meaning	grasp meaning	met	lit	5.0	met
d33	result appear	result emerge	lit	lit	4.0	met
d34	drink alcohol	abuse alcohol	lit	tie	3.0	lit
d35	practise profession	follow profession	lit	tie	3.0	lit
d36	factor affect	factor shape	lit	lit	4.0	met
d37	practise profession	follow profession	lit	lit	3.5	met
d38	get disease	catch disease	lit	met	4.0	met
d39	drink alcohol	abuse alcohol	met	tie	5.0	met
d40	believe story	buy story	met	lit	4.0	met
d41	understand meaning	grasp meaning	lit	lit	5.0	met
d42	make remark	throw remark	met	met	4.0	met
d43	cause doubt	cast doubt	lit	met	4.0	met
d44	war displace	war uproot	met	lit	4.0	met
d45	drink alcohol	abuse alcohol	met	tie	4.0	met
d46	factor affect	factor shape	met	lit	4.0	met
d47	story intrigue	story grab	met	met	4.0	met
d48	address question	tackle question	met	lit	4.0	met
d49	urge someone	push someone	lit	lit	4.0	met
d50	determine result	shape result	lit	tie	5.0	met
d51	improve economy	boost economy	lit	lit	4.0	met
d52	misinterpret word	twist word	lit	lit	4.0	met
d53	painting represent	painting capture	met	met	4.0	met
d54	practise profession	follow profession	lit	lit	4.0	met
d55	end agreement	break agreement	lit	met	4.0	met
d56	disclose report	leak report	met	met	5.0	met
d57	saturate market	flood market	met	met	4.0	met
d58	get disease	catch disease	lit	met	3.0	lit
d59	experience freedom	taste freedom	lit	lit	5.0	met
d60	fire destroy	fire devour	met	met	4.0	met
d61	war displace	war uproot	lit	lit	4.0	met
d62	example show	example illustrate	met	met	5.0	met
d63	read book	devour book	lit	lit	5.0	met
d64	story intrigue	story grab	lit	lit	4.0	met
d65	have smile	wear smile	lit	lit	4.0	met
d66	make remark	throw remark	lit	lit	4.0	met
d67	determine result	shape result	met	lit	5.0	met
d68	solve problem	attack problem	met	lit	3.0	lit
d69	practise profession	follow profession	met	lit	5.0	met
d70	address question	tackle question	met	met	4.0	met
d71	factor affect	factor shape	lit	lit	4.0	met
d72	instill life	breathe life	lit	met	4.0	met
d73	manage job	juggle job	met	lit	4.0	met
d74	understand meaning	grasp meaning	lit	lit	4.0	met
d75	sell drug	push drug	met	met	3.0	lit
d76	corrupt mind	poison mind	lit	lit	4.5	met
d77	invest money	pour money	met	tie	4.0	met
d78	read book	devour book	met	lit	4.0	met
d79	organise production	mount production	lit	lit	4.0	met
d80	painting represent	painting capture	met	met	5.0	met
d81	forget trouble	drown trouble	lit	lit	5.0	met
d82	story intrigue	story grab	met	lit	5.0	met
d83	read book	devour book	met	met	4.0	met
d84	tension increase	tension mount	met	lit	4.0	met
d85	moon appear	moon peep	lit	lit	5.0	met
d86	improve economy	boost economy	lit	tie	4.0	met
d87	address question	tackle question	met	lit	5.0	met
d88	saturate market	flood market	met	met	3.0	lit
d89	get disease	catch disease	lit	lit	4.0	met
d90	war displace	war uproot	lit	lit	4.5	met
d91	fire destroy	fire devour	met	met	5.0	met
d92	view represent	view reflect	lit	lit	4.0	met
d93	determine result	shape result	lit	lit	4.0	met
d94	fire destroy	fire devour	met	lit	5.0	met
d95	have smile	wear smile	lit	met	4.5	met
d96	determine result	shape result	met	lit	4.0	met
d97	have smile	wear smile	met	met	4.0	met
d98	war displace	war uproot	lit	lit	4.0	met
d99	fate be	fate lie	lit	met	4.0	met
d100	drink alcohol	abuse alcohol	lit	met	4.0	met
d101	tension increase	tension mount	lit	met	5.0	met
d102	attract worker	suck worker	lit	lit	4.0	met
d103	instill doubt	sow doubt	lit	lit	5.0	met
d104	understand meaning	grasp meaning	met	met	4.0	met
d105	cause excitement	stir excitement	met	met	4.0	met
d106	read book	devour book	met	lit	4.0	met
d107	discuss idea	float idea	lit	lit	3.0	lit
d108	get disease	catch disease	met	tie	4.0	met
d109	solve problem	attack problem	lit	met	4.0	met
d110	war displace	war uproot	met	lit	4.0	met
d111	distinction disappear	distinction blur	lit	met	4.0	met
d112	organise production	mount production	met	lit	4.0	met
d113	disclose report	leak report	met	met	5.0	met
d114	saturate market	flood market	lit	met	4.0	met
d115	get disease	catch disease	met	met	4.0	met
d116	end agreement	break agreement	lit	met	4.0	met
d117	distinction disappear	distinction blur	met	met	3.0	lit
d118	solve problem	attack problem	met	lit	5.0	met
d119	corrupt mind	poison mind	met	lit	4.0	met
d120	get disease	catch disease	met	met	5.0	met
d121	moon appear	moon peep	lit	lit	4.5	met
d122	example show	example illustrate	met	met	4.5	met
d123	end agreement	break agreement	met	met	4.0	met
d124	colour match	colour harmonise	met	met	5.0	met
d125	discuss idea	float idea	met	met	4.0	met
d126	moon appear	moon peep	lit	lit	5.0	met
d127	stimulate debate	fuel debate	lit	met	4.0	met
d128	decrease appetite	dull appetite	lit	lit	3.0	lit
d129	determine result	shape result	met	lit	4.0	met
d130	sell drug	push drug	met	lit	5.0	met
d131	forget trouble	drown trouble	met	met	5.0	met
d132	drink alcohol	abuse alcohol	met	met	4.0	met
d133	read book	devour book	lit	met	4.0	met
d134	colour match	colour harmonise	lit	lit	4.0	met
d135	stimulate debate	fuel debate	lit	lit	5.0	met
d136	misinterpret word	twist word	lit	met	4.0	met
d137	corrupt mind	poison mind	met	met	3.0	lit
d138	have smile	wear smile	lit	met	4.5	met
d139	fate be	fate lie	met	met	4.0	met
d140	result appear	result emerge	lit	lit	4.0	met
d141	instill life	breathe life	lit	met	4.0	met
d142	organise production	mount production	met	lit	3.0	lit
d143	pose question	frame question	lit	lit	3.0	lit
d144	war displace	war uproot	met	lit	3.0	lit
d145	invest money	pour money	met	met	4.0	met
d146	organise production	mount production	lit	lit	4.0	met
d147	determine result	shape result	met	lit	4.0	met
d148	experience freedom	taste freedom	lit	lit	4.0	met
d149	disclose report	leak report	lit	lit	3.0	lit
d150	discuss idea	float idea	met	met	4.0	met
d151	affect judgement	colour judgement	lit	met	4.0	met
d152	address question	tackle question	met	met	3.0	lit
d153	reject past	disown past	lit	tie	4.0	met
d154	instill doubt	sow doubt	lit	lit	4.0	met
d155	discuss idea	float idea	met	tie	2.0	lit
d156	experience freedom	taste freedom	met	lit	4.0	met
d157	tension increase	tension mount	met	met	4.0	met
d158	determine result	shape result	lit	tie	2.0	lit
d159	discuss idea	float idea	met	lit	4.0	met
d160	instill doubt	sow doubt	met	lit	2.0	lit
d161	factor affect	factor shape	met	lit	3.0	lit
d162	end agreement	break agreement	met	met	5.0	met
d163	tension increase	tension mount	met	lit	4.0	met
d164	read book	devour book	lit	lit	4.0	met
d165	fate be	fate lie	lit	met	3.0	lit
d166	stimulate debate	fuel debate	met	met	3.0	lit
d167	drink alcohol	abuse alcohol	met	met	3.0	lit
d168	organise production	mount production	lit	lit	3.0	lit
d169	discuss idea	float idea	lit	lit	4.0	met
d170	corrupt mind	poison mind	met	lit	3.0	lit
d171	organise production	mount production	met	lit	2.0	lit
d172	stimulate debate	fuel debate	lit	met	3.0	lit
d173	factor affect	factor shape	met	met	3.0	lit
d174	believe story	buy story	lit	lit	3.0	lit
d175	address question	tackle question	lit	lit	4.0	met
d176	example show	example illustrate	met	lit	3.0	lit
d177	disclose report	leak report	lit	lit	4.0	met
d178	recall feeling	recapture feeling	met	met	3.0	lit
d179	affect judgement	colour judgement	met	lit	4.0	met
d180	tension increase	tension mount	lit	lit	3.0	lit
d181	recall feeling	recapture feeling	met	lit	3.0	lit
d182	invest money	pour money	lit	lit	4.0	met
d183	instill life	breathe life	lit	lit	4.0	met
d184	sell drug	push drug	met	lit	4.0	met
d185	experience freedom	taste freedom	met	lit	4.0	met
d186	factor affect	factor shape	lit	lit	3.0	lit
d187	war displace	war uproot	met	met	3.0	lit
d188	pose question	frame question	met	tie	3.0	lit
d189	cause doubt	cast doubt	lit	met	4.0	met
d190	fate be	fate lie	met	met	3.0	lit
d191	make remark	throw remark	met	lit	4.0	met
d192	affect judgement	colour judgement	met	met	4.0	met
d193	determine result	shape result	lit	tie	4.0	met
d194	get disease	catch disease	met	met	4.0	met
d195	colour match	colour harmonise	lit	lit	4.0	met
d196	cause doubt	cast doubt	lit	met	2.0	lit
d197	read book	devour book	met	met	3.0	lit
d198	end agreement	break agreement	lit	lit	2.0	lit
d199	disclose report	leak report	lit	lit	4.0	met
d200	fire destroy	fire devour	met	lit	3.0	lit
d201	organise production	mount production	lit	met	3.0	lit
d202	moon appear	moon peep	lit	lit	3.0	lit
d203	decrease appetite	dull appetite	lit	lit	4.0	met
d204	instill life	breathe life	met	met	3.0	lit
d205	result appear	result emerge	met	met	3.0	lit
d206	cause doubt	cast doubt	lit	met	4.0	met
d207	affect judgement	colour judgement	met	lit	4.0	met
d208	result appear	result emerge	lit	met	3.0	lit
d209	saturate market	flood market	met	lit	3.0	lit
d210	cause doubt	cast doubt	met	met	3.0	lit
d211	affect judgement	colour judgement	met	lit	3.0	lit
d212	example show	example illustrate	met	met	4.0	met
d213	solve problem	attack problem	lit	lit	3.0	lit
d214	improve economy	boost economy	lit	tie	4.0	met
d215	read book	devour book	lit	lit	3.0	lit
d216	tension increase	tension mount	lit	lit	4.0	met
d217	example show	example illustrate	lit	met	4.0	met
d218	make remark	throw remark	lit	lit	4.0	met
d219	colour match	colour harmonise	lit	lit	3.0	lit
d220	manage job	juggle job	lit	met	4.0	met
d221	cause doubt	cast doubt	met	met	4.0	met
d222	sell drug	push drug	met	lit	3.0	lit
d223	practise profession	follow profession	lit	lit	2.0	lit
d224	affect judgement	colour judgement	met	met	4.0	met
d225	reject past	disown past	met	met	3.0	lit
d226	moon appear	moon peep	met	lit	5.0	met
d227	painting represent	painting capture	met	met	4.0	met
d228	get disease	catch disease	lit	tie	3.5	met
d229	make remark	throw remark	lit	lit	4.0	met
d230	affect judgement	colour judgement	met	lit	3.0	lit
d231	painting represent	painting capture	met	met	4.0	met
d232	result appear	result emerge	met	met	3.0	lit
d233	story intrigue	story grab	met	met	4.0	met
d234	result appear	result emerge	met	met	3.0	lit
d235	attract worker	suck worker	lit	lit	2.0	lit
d236	recall feeling	recapture feeling	lit	lit	4.0	met
d237	result appear	result emerge	lit	met	4.0	met
d238	misinterpret word	twist word	met	met	4.0	met
d239	urge someone	push someone	met	lit	3.0	lit
d240	have smile	wear smile	met	met	2.0	lit
d241	instill doubt	sow doubt	met	met	4.0	met
d242	discuss idea	float idea	met	tie	3.0	lit
d243	improve economy	boost economy	lit	met	4.0	met
d244	mess show	mess reflect	lit	lit	4.0	met
d245	improve economy	boost economy	met	met	2.0	lit
d246	practise profession	follow profession	met	lit	4.0	met
d247	experience freedom	taste freedom	met	lit	4.0	met
d248	solve problem	attack problem	met	lit	4.0	met
d249	factor affect	factor shape	met	met	3.0	lit
d250	have smile	wear smile	lit	met	4.0	met
d251	cause excitement	stir excitement	met	lit	3.0	lit
d252	example show	example illustrate	lit	met	2.0	lit
d253	solve problem	attack problem	lit	lit	4.0	met
d254	tension increase	tension mount	met	met	3.0	lit
d255	recall feeling	recapture feeling	met	lit	4.0	met
d256	fate be	fate lie	lit	met	3.0	lit
d257	corrupt mind	poison mind	lit	lit	4.0	met
d258	fate be	fate lie	met	met	4.0	met
d259	experience freedom	taste freedom	met	met	3.0	lit
d260	moon appear	moon peep	lit	lit	3.0	lit
d261	improve economy	boost economy	lit	lit	3.5	met
d262	example show	example illustrate	met	met	4.0	met
d263	decrease appetite	dull appetite	met	lit	3.0	lit
d264	saturate market	flood market	met	lit	3.0	lit
d265	moon appear	moon peep	lit	lit	4.0	met
d266	affect judgement	colour judgement	lit	lit	2.5	lit
d267	decrease appetite	dull appetite	lit	lit	3.0	lit
d268	colour match	colour harmonise	met	met	3.0	lit
d269	cause excitement	stir excitement	lit	tie	4.0	met
d270	instill doubt	sow doubt	met	met	4.0	met
d271	instill doubt	sow doubt	met	lit	4.0	met
d272	read book	devour book	met	lit	4.0	met
d273	corrupt mind	poison mind	met	met	3.0	lit
d274	solve problem	attack problem	lit	lit	3.0	lit
d275	understand meaning	grasp meaning	lit	met	3.0	lit
d276	attract worker	suck worker	met	lit	2.5	lit
d277	cause excitement	stir excitement	lit	met	3.0	lit
d278	determine result	shape result	met	met	3.0	lit
d279	sell drug	push drug	met	lit	3.0	lit
d280	misinterpret word	twist word	lit	lit	2.5	lit
d281	cause excitement	stir excitement	lit	met	3.0	lit
d282	pose question	frame question	met	lit	3.0	lit
d283	view represent	view reflect	lit	lit	3.0	lit
d284	factor affect	factor shape	met	lit	3.0	lit
d285	corrupt mind	poison mind	lit	lit	2.0	lit
d286	instill life	breathe life	met	met	4.0	met
d287	tension increase	tension mount	met	lit	3.0	lit
d288	sell drug	push drug	lit	lit	3.0	lit
d289	have smile	wear smile	met	lit	4.0	met
d290	stimulate debate	fuel debate	met	met	4.0	met
d291	painting represent	painting capture	lit	met	4.0	met
d292	get disease	catch disease	met	lit	4.0	met
d293	organise production	mount production	lit	lit	3.0	lit
d294	distinction disappear	distinction blur	met	met	3.0	lit
d295	solve problem	attack problem	met	lit	4.0	met
d296	view represent	view reflect	met	met	3.0	lit
d297	read book	devour book	met	lit	3.0	lit
d298	reject past	disown past	met	met	4.0	met
d299	disclose report	leak report	met	met	3.0	lit
d300	end agreement	break agreement	met	met	3.0	lit
d301	affect judgement	colour judgement	lit	lit	4.0	met
d302	make remark	throw remark	lit	lit	3.0	lit
d303	painting represent	painting capture	lit	lit	4.0	met
d304	distinction disappear	distinction blur	lit	met	4.0	met
d305	have smile	wear smile	met	met	4.0	met
d306	moon appear	moon peep	met	met	4.0	met
d307	understand meaning	grasp meaning	lit	lit	3.0	lit
d308	result appear	result emerge	lit	tie	4.0	met
d309	practise profession	follow profession	met	lit	4.0	met
d310	view represent	view reflect	lit	met	3.0	lit
d311	determine result	shape result	met	met	4.0	met
d312	make remark	throw remark	met	met	3.0	lit
d313	attract worker	suck worker	lit	lit	4.0	met
d314	corrupt mind	poison mind	met	met	3.0	lit
d315	result appear	result emerge	met	met	3.0	lit
d316	distinction disappear	distinction blur	met	tie	3.0	lit
d317	story intrigue	story grab	lit	lit	4.0	met
d318	affect judgement	colour judgement	lit	lit	4.0	met
d319	urge someone	push someone	lit	met	4.0	met
d320	distinction disappear	distinction blur	met	met	4.0	met
d321	tension increase	tension mount	met	lit	3.0	lit
d322	invest money	pour money	met	met	3.0	lit
d323	attract worker	suck worker	lit	lit	4.0	met
d324	reject past	disown past	lit	lit	4.0	met
d325	drink alcohol	abuse alcohol	lit	met	3.0	lit
d326	experience freedom	taste freedom	met	lit	4.0	met
d327	sell drug	push drug	lit	lit	3.0	lit
d328	discuss idea	float idea	met	lit	3.0	lit
d329	solve problem	attack problem	lit	lit	4.0	met
d330	fire destroy	fire devour	met	met	4.0	met
d331	example show	example illustrate	lit	met	3.0	lit
d332	fate be	fate lie	met	met	4.0	met
d333	discuss idea	float idea	met	lit	3.0	lit
d334	solve problem	attack problem	lit	lit	3.0	lit
d335	solve problem	attack problem	met	lit	3.0	lit
d336	make remark	throw remark	met	lit	3.0	lit
d337	cause doubt	cast doubt	lit	met	4.0	met
d338	war displace	war uproot	lit	lit	3.0	lit
d339	misinterpret word	twist word	met	met	3.0	lit
d340	make remark	throw remark	lit	lit	4.0	met
d341	discuss idea	float idea	met	lit	4.0	met
d342	instill doubt	sow doubt	lit	lit	3.0	lit
d343	discuss idea	float idea	lit	lit	3.0	lit
d344	colour match	colour harmonise	lit	lit	3.0	lit
d345	manage job	juggle job	met	met	3.0	lit
d346	manage job	juggle job	lit	lit	3.0	lit
d347	colour match	colour harmonise	lit	lit	3.0	lit
d348	colour match	colour harmonise	met	met	3.0	lit
d349	manage job	juggle job	met	tie	3.5	met
d350	invest money	pour money	met	lit	4.0	met
d351	make remark	throw remark	met	lit	4.0	met
d352	moon appear	moon peep	met	lit	4.0	met
d353	solve problem	attack problem	lit	lit	3.0	lit
d354	fire destroy	fire devour	lit	lit	2.0	lit
d355	disclose report	leak report	met	tie	3.0	lit
d356	corrupt mind	poison mind	lit	met	3.0	lit
d357	stimulate debate	fuel debate	met	met	3.5	met
d358	painting represent	painting capture	lit	met	3.0	lit
d359	address question	tackle question	lit	lit	4.0	met
d360	story intrigue	story grab	lit	lit	4.0	met
d361	moon appear	moon peep	lit	lit	3.0	lit
d362	urge someone	push someone	lit	lit	3.0	lit
d363	believe story	buy story	lit	lit	3.0	lit
d364	forget trouble	drown trouble	lit	lit	4.0	met
d365	understand meaning	grasp meaning	met	lit	4.0	met
d366	solve problem	attack problem	met	lit	3.0	lit
d367	fire destroy	fire devour	lit	lit	3.0	lit
d368	decrease appetite	dull appetite	lit	met	2.5	lit
d369	sell drug	push drug	lit	lit	4.0	met
d370	cause excitement	stir excitement	lit	met	4.0	met
d371	manage job	juggle job	lit	lit	3.0	lit
d372	result appear	result emerge	lit	lit	4.0	met
d373	story intrigue	story grab	lit	met	5.0	met
d374	fate be	fate lie	met	met	3.0	lit
d375	discuss idea	float idea	lit	lit	2.0	lit
d376	view represent	view reflect	lit	met	3.0	lit
d377	painting represent	painting capture	met	met	3.0	lit
d378	cause excitement	stir excitement	met	met	4.0	met
d379	factor affect	factor shape	met	lit	3.0	lit
d380	mess show	mess reflect	met	tie	3.0	lit
d381	experience freedom	taste freedom	lit	lit	3.0	lit
d382	reject past	disown past	met	met	3.0	lit
d383	misinterpret word	twist word	met	met	4.0	met
d384	believe story	buy story	lit	lit	4.0	met
d385	urge someone	push someone	met	met	3.5	met
d386	decrease appetite	dull appetite	lit	lit	3.5	met
d387	fire destroy	fire devour	met	lit	5.0	met
d388	forget trouble	drown trouble	lit	met	4.0	met
d389	urge someone	push someone	lit	lit	4.0	met
d390	view represent	view reflect	met	met	4.0	met
d391	factor affect	factor shape	lit	tie	3.5	met
d392	have smile	wear smile	lit	lit	4.0	met
d393	corrupt mind	poison mind	lit	met	4.0	met
d394	story intrigue	story grab	lit	lit	4.0	met
d395	war displace	war uproot	met	lit	3.0	lit
d396	drink alcohol	abuse alcohol	met	lit	3.0	lit
d397	practise profession	follow profession	met	lit	3.0	lit
d398	mess show	mess reflect	lit	lit	3.0	lit
d399	instill doubt	sow doubt	met	met	3.0	lit
d400	address question	tackle question	lit	lit	3.0	lit
d401	practise profession	follow profession	lit	lit	2.0	lit
d402	urge someone	push someone	met	met	3.0	lit
d403	painting represent	painting capture	met	met	4.0	met
d404	stimulate debate	fuel debate	met	met	2.0	lit
d405	believe story	buy story	lit	met	5.0	met
d406	pose question	frame question	met	tie	3.0	lit
d407	factor affect	factor shape	lit	met	2.5	lit
d408	stimulate debate	fuel debate	met	met	3.0	lit
d409	painting represent	painting capture	lit	lit	3.0	lit
d410	forget trouble	drown trouble	lit	met	4.0	met
d411	manage job	juggle job	lit	tie	2.0	lit
d412	improve economy	boost economy	met	lit	3.0	lit
d413	reject past	disown past	lit	met	3.0	lit
d414	tension increase	tension mount	met	lit	4.0	met
d415	sell drug	push drug	lit	lit	2.0	lit
d416	painting represent	painting capture	lit	met	4.0	met
d417	believe story	buy story	met	met	4.0	met
d418	improve economy	boost economy	lit	met	3.0	lit
d419	invest money	pour money	lit	lit	3.0	lit
d420	view represent	view reflect	met	met	4.0	met
d421	fate be	fate lie	met	met	4.0	met
d422	experience freedom	taste freedom	lit	lit	3.0	lit
d423	fire destroy	fire devour	lit	lit	4.0	met
d424	colour match	colour harmonise	lit	lit	4.0	met
d425	cause doubt	cast doubt	met	met	3.5	met
d426	war displace	war uproot	met	met	3.0	lit
d427	understand meaning	grasp meaning	met	tie	3.0	lit
d428	determine result	shape result	lit	lit	4.0	met
d429	forget trouble	drown trouble	met	met	4.0	met
d430	manage job	juggle job	lit	met	3.0	lit
d431	stimulate debate	fuel debate	lit	met	4.0	met
d432	end agreement	break agreement	met	tie	3.0	lit
d433	manage job	juggle job	met	met	4.0	met
d434	end agreement	break agreement	lit	met	3.0	lit
d435	believe story	buy story	lit	lit	5.0	met
d436	view represent	view reflect	lit	tie	3.0	lit
d437	manage job	juggle job	lit	met	4.0	met
d438	improve economy	boost economy	lit	lit	3.0	lit
d439	fire destroy	fire devour	lit	lit	4.0	met
d440	drink alcohol	abuse alcohol	lit	lit	4.0	met
d441	saturate market	flood market	lit	lit	4.0	met
d442	read book	devour book	lit	lit	4.0	met
d443	corrupt mind	poison mind	met	tie	4.0	met
d444	disclose report	leak report	lit	lit	3.0	lit
d445	urge someone	push someone	lit	met	4.0	met
d446	war displace	war uproot	met	met	3.5	met
d447	get disease	catch disease	met	lit	5.0	met
d448	moon appear	moon peep	met	met	4.5	met
d449	organise production	mount production	met	lit	2.5	lit
d450	stimulate debate	fuel debate	met	met	3.0	lit
d451	attract worker	suck worker	met	lit	3.0	lit
d452	address question	tackle question	met	lit	3.0	lit
d453	manage job	juggle job	met	met	3.0	lit
d454	discuss idea	float idea	met	met	2.5	lit
d455	sell drug	push drug	lit	lit	3.5	met
d456	mess show	mess reflect	met	met	4.5	met
d457	cause doubt	cast doubt	met	met	4.0	met
d458	distinction disappear	distinction blur	met	met	2.5	lit
d459	organise production	mount production	lit	lit	4.0	met
d460	pose question	frame question	met	lit	3.0	lit
d461	improve economy	boost economy	lit	lit	3.0	lit
d462	instill doubt	sow doubt	lit	met	3.0	lit
d463	misinterpret word	twist word	met	met	4.0	met
d464	corrupt mind	poison mind	lit	met	3.0	lit
d465	practise profession	follow profession	met	lit	3.0	lit
d466	distinction disappear	distinction blur	lit	lit	4.0	met
d467	stimulate debate	fuel debate	met	met	5.0	met
d468	instill doubt	sow doubt	lit	lit	4.0	met
d469	distinction disappear	distinction blur	met	lit	4.0	met
d470	urge someone	push someone	lit	lit	3.5	met
d471	practise profession	follow profession	met	met	3.0	lit
d472	disclose report	leak report	met	met	3.0	lit
d473	misinterpret word	twist word	lit	lit	2.0	lit
d474	improve economy	boost economy	met	met	3.0	lit
d475	affect judgement	colour judgement	met	lit	3.0	lit
d476	view represent	view reflect	met	lit	4.0	met
d477	colour match	colour harmonise	met	met	3.0	lit
d478	fire destroy	fire devour	lit	met	4.0	met
d479	disclose report	leak report	lit	lit	3.0	lit
d480	misinterpret word	twist word	met	met	4.5	met
d481	tension increase	tension mount	met	met	3.0	lit
d482	colour match	colour harmonise	lit	lit	3.0	lit
d483	result appear	result emerge	met	met	3.0	lit
d484	instill life	breathe life	lit	met	3.0	lit
d485	view represent	view reflect	lit	lit	4.0	met
d486	improve economy	boost economy	met	met	4.0	met
d487	colour match	colour harmonise	met	met	4.0	met
d488	understand meaning	grasp meaning	met	lit	3.0	lit
d489	mess show	mess reflect	lit	lit	4.0	met
d490	disclose report	leak report	met	lit	4.0	met
d491	address question	tackle question	met	lit	4.0	met
d492	get disease	catch disease	lit	lit	2.0	lit
d493	saturate market	flood market	lit	lit	3.0	lit
d494	recall feeling	recapture feeling	lit	lit	4.0	met
d495	colour match	colour harmonise	lit	lit	4.0	met
d496	disclose report	leak report	met	met	3.0	lit
d497	cause excitement	stir excitement	lit	lit	4.0	met
d498	practise profession	follow profession	lit	lit	3.0	lit
