DiscourseId	Expression.Lit	Expression.Met	Original.Expression	Expression.MetLit	Discourse.Median.MetLit	Discourse.MetLit
d499	read book	devour book	met	met	3.0	lit
d500	organise production	mount production	met	lit	3.0	lit
d501	organise production	mount production	met	lit	3.0	lit
d502	invest money	pour money	lit	lit	5.0	met
d503	make remark	throw remark	lit	lit	3.0	lit
d504	understand meaning	grasp meaning	lit	met	2.0	lit
d505	instill life	breathe life	met	lit	3.0	lit
d506	view represent	view reflect	met	met	3.0	lit
d507	cause doubt	cast doubt	lit	met	4.0	met
d508	instill doubt	sow doubt	met	lit	2.5	lit
d509	result appear	result emerge	met	met	3.0	lit
d510	recall feeling	recapture feeling	lit	met	4.0	met
d511	cause excitement	stir excitement	lit	met	3.0	lit
d512	colour match	colour harmonise	met	tie	3.0	lit
d513	misinterpret word	twist word	lit	lit	3.0	lit
d514	example show	example illustrate	lit	met	4.0	met
d515	believe story	buy story	met	met	3.5	met
d516	decrease appetite	dull appetite	met	lit	3.5	met
d517	story intrigue	story grab	met	lit	3.5	met
d518	story intrigue	story grab	met	tie	4.0	met
d519	get disease	catch disease	lit	lit	4.0	met
d520	painting represent	painting capture	lit	met	3.0	lit
d521	forget trouble	drown trouble	met	met	4.0	met
d522	misinterpret word	twist word	met	met	4.0	met
d523	fire destroy	fire devour	met	lit	3.0	lit
d524	fate be	fate lie	lit	met	5.0	met
d525	view represent	view reflect	met	met	3.0	lit
d526	end agreement	break agreement	lit	met	3.0	lit
d527	misinterpret word	twist word	lit	met	4.0	met
d528	make remark	throw remark	met	tie	4.0	met
d529	misinterpret word	twist word	lit	met	4.0	met
d530	forget trouble	drown trouble	met	lit	4.5	met
d531	mess show	mess reflect	lit	met	4.0	met
d532	fate be	fate lie	lit	lit	3.0	lit
d533	stimulate debate	fuel debate	met	lit	3.5	met
d534	war displace	war uproot	met	met	3.5	met
d535	fate be	fate lie	met	met	4.0	met
d536	organise production	mount production	lit	lit	4.0	met
d537	make remark	throw remark	lit	lit	3.5	met
d538	sell drug	push drug	met	lit	4.0	met
d539	get disease	catch disease	lit	met	4.0	met
d540	manage job	juggle job	lit	met	4.0	met
d541	get disease	catch disease	met	met	4.0	met
d542	fire destroy	fire devour	met	tie	4.0	met
d543	disclose report	leak report	lit	lit	2.0	lit
d544	mess show	mess reflect	lit	met	4.0	met
d545	get disease	catch disease	lit	met	3.0	lit
d546	distinction disappear	distinction blur	lit	met	2.5	lit
d547	fate be	fate lie	met	met	5.0	met
d548	instill doubt	sow doubt	met	met	3.0	lit
d549	affect judgement	colour judgement	lit	met	3.0	lit
d550	mess show	mess reflect	met	met	3.0	lit
d551	example show	example illustrate	met	tie	4.0	met
d552	affect judgement	colour judgement	lit	met	4.0	met
d553	painting represent	painting capture	met	met	4.0	met
d554	invest money	pour money	met	lit	4.0	met
d555	improve economy	boost economy	met	lit	3.0	lit
d556	moon appear	moon peep	met	lit	5.0	met
d557	result appear	result emerge	met	met	4.0	met
d558	end agreement	break agreement	met	met	4.0	met
d559	experience freedom	taste freedom	met	lit	4.0	met
d560	cause doubt	cast doubt	met	met	3.0	lit
d561	mess show	mess reflect	lit	lit	4.0	met
d562	have smile	wear smile	met	met	2.5	lit
d563	forget trouble	drown trouble	met	lit	3.5	met
d564	mess show	mess reflect	met	met	4.0	met
d565	end agreement	break agreement	lit	met	3.0	lit
d566	address question	tackle question	lit	lit	3.5	met
d567	urge someone	push someone	lit	lit	4.0	met
d568	affect judgement	colour judgement	lit	lit	3.0	lit
d569	determine result	shape result	met	lit	3.5	met
d570	drink alcohol	abuse alcohol	lit	met	2.0	lit
d571	improve economy	boost economy	met	lit	2.5	lit
d572	result appear	result emerge	lit	lit	3.5	met
d573	invest money	pour money	lit	lit	2.5	lit
d574	mess show	mess reflect	lit	met	3.0	lit
d575	decrease appetite	dull appetite	lit	lit	3.0	lit
d576	experience freedom	taste freedom	lit	lit	3.5	met
d577	saturate market	flood market	lit	met	2.0	lit
d578	urge someone	push someone	lit	lit	3.0	lit
d579	cause excitement	stir excitement	lit	lit	3.0	lit
d580	decrease appetite	dull appetite	lit	met	4.0	met
d581	recall feeling	recapture feeling	met	met	4.0	met
d582	organise production	mount production	met	lit	4.0	met
d583	experience freedom	taste freedom	lit	lit	3.0	lit
d584	fire destroy	fire devour	lit	met	4.0	met
d585	cause doubt	cast doubt	met	met	4.0	met
d586	misinterpret word	twist word	met	lit	4.0	met
d587	determine result	shape result	lit	lit	3.5	met
d588	address question	tackle question	met	met	3.0	lit
d589	invest money	pour money	met	lit	5.0	met
d590	reject past	disown past	lit	lit	4.0	met
d591	tension increase	tension mount	met	met	4.0	met
d592	distinction disappear	distinction blur	lit	lit	4.0	met
d593	have smile	wear smile	met	met	5.0	met
d594	make remark	throw remark	met	lit	4.0	met
d595	reject past	disown past	met	met	5.0	met
d596	pose question	frame question	lit	lit	4.0	met
d597	war displace	war uproot	lit	lit	2.5	lit
d598	solve problem	attack problem	met	lit	4.0	met
d599	decrease appetite	dull appetite	met	met	3.0	lit
d600	saturate market	flood market	met	met	3.5	met
d601	story intrigue	story grab	met	met	4.0	met
d602	discuss idea	float idea	met	lit	4.0	met
d603	stimulate debate	fuel debate	lit	met	4.0	met
d604	address question	tackle question	lit	lit	3.0	lit
d605	example show	example illustrate	met	lit	4.0	met
d606	mess show	mess reflect	met	met	4.0	met
d607	disclose report	leak report	lit	lit	4.0	met
d608	forget trouble	drown trouble	lit	met	4.0	met
d609	cause excitement	stir excitement	met	met	4.0	met
d610	painting represent	painting capture	met	lit	4.0	met
d611	distinction disappear	distinction blur	met	lit	3.5	met
d612	experience freedom	taste freedom	lit	lit	3.0	lit
d613	manage job	juggle job	met	met	4.0	met
d614	view represent	view reflect	met	lit	4.0	met
d615	distinction disappear	distinction blur	lit	lit	4.0	met
d616	colour match	colour harmonise	lit	met	2.0	lit
d617	result appear	result emerge	lit	met	3.5	met
d618	get disease	catch disease	met	met	3.0	lit
d619	reject past	disown past	met	lit	5.0	met
d620	organise production	mount production	lit	met	4.0	met
d621	urge someone	push someone	met	tie	4.0	met
d622	decrease appetite	dull appetite	lit	lit	3.0	lit
d623	cause excitement	stir excitement	met	met	3.0	lit
d624	have smile	wear smile	met	lit	4.5	met
d625	instill life	breathe life	met	met	3.5	met
d626	distinction disappear	distinction blur	met	lit	4.0	met
d627	drink alcohol	abuse alcohol	lit	met	2.5	lit
d628	affect judgement	colour judgement	lit	lit	5.0	met
d629	reject past	disown past	lit	lit	4.0	met
d630	understand meaning	grasp meaning	lit	met	4.0	met
d631	solve problem	attack problem	lit	lit	4.0	met
d632	corrupt mind	poison mind	lit	lit	3.0	lit
d633	distinction disappear	distinction blur	lit	tie	4.0	met
d634	cause excitement	stir excitement	met	met	2.0	lit
d635	attract worker	suck worker	lit	lit	3.0	lit
d636	make remark	throw remark	lit	met	3.5	met
d637	end agreement	break agreement	met	met	4.0	met
d638	instill life	breathe life	lit	met	3.0	lit
d639	drink alcohol	abuse alcohol	lit	lit	4.0	met
d640	determine result	shape result	met	lit	4.0	met
d641	corrupt mind	poison mind	met	lit	2.5	lit
d642	read book	devour book	lit	lit	4.0	met
d643	sell drug	push drug	lit	lit	3.0	lit
d644	discuss idea	float idea	lit	met	3.5	met
d645	instill life	breathe life	lit	met	4.0	met
d646	have smile	wear smile	lit	met	4.0	met
d647	experience freedom	taste freedom	met	lit	5.0	met
d648	get disease	catch disease	lit	met	3.0	lit
d649	misinterpret word	twist word	met	met	3.0	lit
d650	have smile	wear smile	met	met	4.0	met
d651	story intrigue	story grab	met	lit	4.0	met
d652	organise production	mount production	lit	lit	3.0	lit
d653	instill life	breathe life	lit	met	4.0	met
d654	pose question	frame question	lit	met	3.5	met
d655	instill life	breathe life	met	lit	3.0	lit
d656	understand meaning	grasp meaning	met	met	4.0	met
d657	saturate market	flood market	lit	tie	4.0	met
d658	discuss idea	float idea	lit	lit	3.0	lit
d659	manage job	juggle job	lit	lit	3.0	lit
d660	make remark	throw remark	met	lit	4.0	met
d661	instill life	breathe life	met	met	4.0	met
d662	address question	tackle question	met	lit	4.0	met
d663	recall feeling	recapture feeling	met	met	4.0	met
d664	have smile	wear smile	lit	met	4.0	met
d665	disclose report	leak report	met	lit	4.0	met
d666	war displace	war uproot	lit	lit	3.0	lit
d667	colour match	colour harmonise	met	met	4.5	met
d668	practise profession	follow profession	lit	lit	4.0	met
d669	cause excitement	stir excitement	met	met	3.5	met
d670	improve economy	boost economy	met	met	3.5	met
d671	read book	devour book	met	lit	4.5	met
d672	moon appear	moon peep	lit	lit	4.0	met
d673	example show	example illustrate	lit	met	3.5	met
d674	moon appear	moon peep	met	lit	5.0	met
d675	affect judgement	colour judgement	met	lit	3.5	met
d676	stimulate debate	fuel debate	lit	lit	3.5	met
d677	address question	tackle question	lit	lit	2.0	lit
d678	war displace	war uproot	met	lit	3.5	met
d679	reject past	disown past	met	met	4.0	met
d680	understand meaning	grasp meaning	met	met	4.5	met
d681	solve problem	attack problem	met	lit	3.0	lit
d682	fire destroy	fire devour	lit	lit	3.0	lit
d683	urge someone	push someone	met	lit	4.0	met
d684	misinterpret word	twist word	met	lit	4.0	met
d685	tension increase	tension mount	lit	met	4.0	met
d686	instill doubt	sow doubt	lit	tie	5.0	met
d687	decrease appetite	dull appetite	met	tie	4.0	met
d688	saturate market	flood market	lit	-	4.0	met
d689	corrupt mind	poison mind	met	met	5.0	met
d690	recall feeling	recapture feeling	lit	met	4.0	met
d691	cause excitement	stir excitement	lit	met	3.0	lit
d692	affect judgement	colour judgement	lit	lit	4.0	met
d693	view represent	view reflect	lit	lit	3.0	lit
d694	cause doubt	cast doubt	lit	met	3.0	lit
d695	instill doubt	sow doubt	lit	met	3.5	met
d696	stimulate debate	fuel debate	met	lit	4.0	met
d697	manage job	juggle job	met	lit	4.0	met
d698	end agreement	break agreement	lit	lit	4.0	met
d699	attract worker	suck worker	met	lit	3.0	lit
d700	fate be	fate lie	lit	met	3.0	lit
d701	manage job	juggle job	met	met	4.0	met
d702	result appear	result emerge	met	met	4.0	met
d703	cause doubt	cast doubt	met	met	3.0	lit
d704	factor affect	factor shape	met	met	4.0	met
d705	factor affect	factor shape	lit	lit	3.0	lit
d706	drink alcohol	abuse alcohol	lit	lit	4.0	met
d707	reject past	disown past	met	lit	4.0	met
d708	read book	devour book	lit	lit	4.0	met
d709	recall feeling	recapture feeling	lit	met	4.0	met
d710	instill doubt	sow doubt	lit	met	4.0	met
d711	colour match	colour harmonise	met	met	4.0	met
d712	determine result	shape result	met	lit	3.0	lit
d713	tension increase	tension mount	lit	met	4.0	met
d714	factor affect	factor shape	lit	lit	4.0	met
d715	moon appear	moon peep	met	lit	4.0	met
d716	affect judgement	colour judgement	met	lit	4.0	met
d717	cause doubt	cast doubt	met	met	2.0	lit
d718	attract worker	suck worker	met	lit	4.0	met
d719	cause doubt	cast doubt	lit	met	3.0	lit
d720	determine result	shape result	lit	lit	4.0	met
d721	pose question	frame question	lit	lit	4.0	met
d722	manage job	juggle job	met	lit	3.0	lit
d723	pose question	frame question	lit	lit	4.0	met
d724	war displace	war uproot	lit	lit	3.0	lit
d725	sell drug	push drug	met	met	3.0	lit
d726	cause excitement	stir excitement	met	met	3.5	met
d727	solve problem	attack problem	met	lit	3.0	lit
d728	result appear	result emerge	lit	met	3.0	lit
d729	determine result	shape result	lit	lit	4.0	met
d730	reject past	disown past	lit	met	3.0	lit
d731	invest money	pour money	lit	lit	4.0	met
d732	address question	tackle question	met	met	4.0	met
d733	saturate market	flood market	lit	lit	4.0	met
d734	distinction disappear	distinction blur	met	met	3.0	lit
d735	view represent	view reflect	lit	met	3.0	lit
d736	read book	devour book	lit	lit	4.0	met
d737	address question	tackle question	lit	lit	4.0	met
d738	misinterpret word	twist word	lit	lit	4.0	met
d739	result appear	result emerge	lit	met	3.0	lit
d740	example show	example illustrate	met	lit	3.0	lit
d741	sell drug	push drug	lit	lit	3.0	lit
d742	believe story	buy story	met	lit	4.0	met
d743	misinterpret word	twist word	lit	met	5.0	met
d744	pose question	frame question	lit	lit	4.0	met
d745	fire destroy	fire devour	lit	lit	3.0	lit
d746	cause doubt	cast doubt	lit	lit	4.0	met
d747	tension increase	tension mount	lit	met	3.0	lit
d748	practise profession	follow profession	met	lit	3.0	lit
d749	forget trouble	drown trouble	met	met	4.0	met
d750	story intrigue	story grab	met	met	4.0	met
d751	decrease appetite	dull appetite	met	met	4.0	met
d752	attract worker	suck worker	lit	lit	4.0	met
d753	reject past	disown past	lit	met	4.0	met
d754	decrease appetite	dull appetite	lit	met	3.0	lit
d755	urge someone	push someone	met	lit	4.0	met
d756	believe story	buy story	met	met	4.0	met
d757	have smile	wear smile	lit	met	4.0	met
d758	pose question	frame question	lit	met	4.0	met
d759	saturate market	flood market	met	met	3.0	lit
d760	end agreement	break agreement	met	met	4.0	met
d761	practise profession	follow profession	met	lit	4.0	met
d762	saturate market	flood market	lit	lit	4.0	met
d763	mess show	mess reflect	lit	lit	3.5	met
d764	cause excitement	stir excitement	lit	met	3.0	lit
d765	fire destroy	fire devour	lit	met	3.0	lit
d766	read book	devour book	lit	lit	3.0	lit
d767	believe story	buy story	met	met	3.0	lit
d768	discuss idea	float idea	lit	lit	4.0	met
d769	mess show	mess reflect	met	lit	3.0	lit
d770	painting represent	painting capture	lit	met	3.0	lit
d771	factor affect	factor shape	lit	lit	4.0	met
d772	view represent	view reflect	met	lit	4.0	met
d773	read book	devour book	lit	lit	4.0	met
d774	example show	example illustrate	met	met	4.0	met
d775	address question	tackle question	met	lit	4.0	met
d776	invest money	pour money	lit	met	3.5	met
d777	war displace	war uproot	lit	lit	3.0	lit
d778	tension increase	tension mount	lit	lit	4.0	met
d779	practise profession	follow profession	lit	lit	3.0	lit
d780	story intrigue	story grab	met	met	3.5	met
d781	manage job	juggle job	lit	met	3.0	lit
d782	distinction disappear	distinction blur	lit	lit	4.0	met
d783	forget trouble	drown trouble	met	lit	5.0	met
d784	end agreement	break agreement	lit	met	5.0	met
d785	colour match	colour harmonise	lit	lit	3.0	lit
d786	address question	tackle question	lit	lit	3.0	lit
d787	story intrigue	story grab	lit	lit	4.0	met
d788	colour match	colour harmonise	met	lit	4.0	met
d789	moon appear	moon peep	met	lit	4.0	met
d790	attract worker	suck worker	met	lit	4.0	met
d791	get disease	catch disease	met	met	3.0	lit
d792	decrease appetite	dull appetite	met	tie	4.0	met
d793	attract worker	suck worker	met	lit	4.0	met
d794	instill doubt	sow doubt	met	met	4.0	met
d795	war displace	war uproot	lit	lit	4.0	met
d796	stimulate debate	fuel debate	lit	met	4.0	met
d797	painting represent	painting capture	lit	met	5.0	met
d798	factor affect	factor shape	met	lit	4.0	met
d799	solve problem	attack problem	lit	lit	3.0	lit
d800	example show	example illustrate	lit	lit	4.0	met
d801	corrupt mind	poison mind	lit	lit	4.0	met
d802	make remark	throw remark	lit	lit	5.0	met
d803	forget trouble	drown trouble	met	lit	4.0	met
d804	solve problem	attack problem	lit	lit	4.0	met
d805	experience freedom	taste freedom	lit	lit	4.0	met
d806	attract worker	suck worker	met	lit	4.0	met
d807	believe story	buy story	lit	met	3.5	met
d808	instill life	breathe life	lit	met	3.0	lit
d809	practise profession	follow profession	lit	lit	4.0	met
d810	distinction disappear	distinction blur	met	lit	3.0	lit
d811	disclose report	leak report	lit	lit	3.0	lit
d812	mess show	mess reflect	lit	lit	4.0	met
d813	manage job	juggle job	met	met	4.0	met
d814	organise production	mount production	met	lit	4.0	met
d815	discuss idea	float idea	lit	lit	3.0	lit
d816	invest money	pour money	met	lit	4.0	met
d817	forget trouble	drown trouble	lit	tie	3.0	lit
d818	instill life	breathe life	met	met	4.0	met
d819	experience freedom	taste freedom	lit	lit	4.0	met
d820	attract worker	suck worker	lit	lit	3.0	lit
d821	view represent	view reflect	met	met	5.0	met
d822	read book	devour book	met	lit	3.0	lit
d823	mess show	mess reflect	met	met	4.0	met
d824	tension increase	tension mount	lit	met	3.0	lit
d825	corrupt mind	poison mind	met	met	2.5	lit
d826	invest money	pour money	lit	lit	4.0	met
d827	story intrigue	story grab	lit	lit	3.0	lit
d828	experience freedom	taste freedom	met	lit	4.0	met
d829	forget trouble	drown trouble	lit	lit	4.0	met
d830	mess show	mess reflect	met	met	4.0	met
d831	reject past	disown past	lit	lit	4.0	met
d832	saturate market	flood market	met	lit	5.0	met
d833	instill life	breathe life	lit	met	3.0	lit
d834	urge someone	push someone	met	lit	3.0	lit
d835	stimulate debate	fuel debate	lit	tie	3.0	lit
d836	organise production	mount production	met	lit	4.0	met
d837	invest money	pour money	met	lit	2.0	lit
d838	disclose report	leak report	met	met	4.0	met
d839	disclose report	leak report	met	met	2.0	lit
d840	tension increase	tension mount	met	lit	4.0	met
d841	have smile	wear smile	met	met	4.0	met
d842	discuss idea	float idea	lit	lit	4.5	met
d843	believe story	buy story	met	lit	4.0	met
d844	fire destroy	fire devour	met	met	4.0	met
d845	drink alcohol	abuse alcohol	lit	lit	4.0	met
d846	instill doubt	sow doubt	lit	lit	4.0	met
d847	cause doubt	cast doubt	met	met	4.0	met
d848	instill doubt	sow doubt	lit	lit	4.0	met
d849	fire destroy	fire devour	lit	lit	3.5	met
d850	forget trouble	drown trouble	lit	met	4.0	met
d851	make remark	throw remark	met	lit	3.5	met
d852	mess show	mess reflect	met	lit	5.0	met
d853	improve economy	boost economy	met	met	3.0	lit
d854	factor affect	factor shape	lit	met	4.0	met
d855	read book	devour book	met	lit	4.0	met
d856	recall feeling	recapture feeling	lit	lit	4.0	met
d857	attract worker	suck worker	met	lit	3.0	lit
d858	mess show	mess reflect	lit	met	5.0	met
d859	attract worker	suck worker	lit	lit	4.0	met
d860	drink alcohol	abuse alcohol	met	met	4.0	met
d861	determine result	shape result	lit	met	3.5	met
d862	view represent	view reflect	met	met	4.0	met
d863	cause doubt	cast doubt	lit	tie	4.0	met
d864	solve problem	attack problem	met	lit	4.0	met
d865	decrease appetite	dull appetite	met	met	3.0	lit
d866	invest money	pour money	met	met	3.0	lit
d867	practise profession	follow profession	met	met	4.0	met
d868	painting represent	painting capture	met	met	3.0	lit
d869	factor affect	factor shape	met	lit	3.0	lit
d870	recall feeling	recapture feeling	lit	met	4.0	met
d871	recall feeling	recapture feeling	met	met	4.0	met
d872	mess show	mess reflect	met	met	4.0	met
d873	understand meaning	grasp meaning	lit	lit	3.0	lit
d874	urge someone	push someone	lit	lit	3.0	lit
d875	sell drug	push drug	lit	lit	4.0	met
d876	factor affect	factor shape	met	tie	3.0	lit
d877	improve economy	boost economy	met	met	3.0	lit
d878	cause doubt	cast doubt	met	met	3.0	lit
d879	understand meaning	grasp meaning	lit	met	4.0	met
d880	end agreement	break agreement	met	met	3.0	lit
d881	reject past	disown past	lit	met	3.0	lit
d882	recall feeling	recapture feeling	lit	tie	4.0	met
d883	have smile	wear smile	lit	met	3.0	lit
d884	story intrigue	story grab	lit	lit	4.0	met
d885	stimulate debate	fuel debate	met	met	3.5	met
d886	saturate market	flood market	lit	met	3.0	lit
d887	reject past	disown past	met	met	3.5	met
d888	organise production	mount production	met	met	3.0	lit
d889	believe story	buy story	lit	lit	4.0	met
d890	reject past	disown past	met	met	4.0	met
d891	instill doubt	sow doubt	met	met	3.0	lit
d892	example show	example illustrate	lit	met	3.0	lit
d893	result appear	result emerge	met	met	3.0	lit
d894	fate be	fate lie	lit	lit	4.0	met
d895	sell drug	push drug	met	lit	4.0	met
d896	invest money	pour money	lit	lit	3.0	lit
d897	story intrigue	story grab	lit	lit	4.0	met
d898	fate be	fate lie	lit	met	3.0	lit
d899	painting represent	painting capture	lit	met	3.0	lit
d900	view represent	view reflect	lit	met	4.0	met
d901	fate be	fate lie	lit	met	3.5	met
d902	corrupt mind	poison mind	lit	lit	4.0	met
d903	moon appear	moon peep	met	met	4.0	met
d904	disclose report	leak report	lit	lit	3.0	lit
d905	tension increase	tension mount	lit	lit	3.5	met
d906	understand meaning	grasp meaning	lit	lit	4.0	met
d907	fate be	fate lie	met	met	3.5	met
d908	sell drug	push drug	met	tie	3.0	lit
d909	fate be	fate lie	lit	met	3.0	lit
d910	address question	tackle question	lit	lit	4.0	met
d911	invest money	pour money	lit	lit	3.5	met
d912	get disease	catch disease	lit	tie	3.0	lit
d913	urge someone	push someone	met	tie	3.5	met
d914	practise profession	follow profession	met	tie	3.0	lit
d915	believe story	buy story	lit	lit	3.5	met
d916	urge someone	push someone	met	lit	3.0	lit
d917	distinction disappear	distinction blur	lit	met	3.0	lit
d918	corrupt mind	poison mind	met	met	4.0	met
d919	forget trouble	drown trouble	lit	lit	3.0	lit
d920	end agreement	break agreement	met	met	3.0	lit
d921	have smile	wear smile	met	lit	4.0	met
d922	make remark	throw remark	met	met	4.5	met
d923	war displace	war uproot	met	met	4.0	met
d924	manage job	juggle job	lit	lit	4.0	met
d925	instill doubt	sow doubt	met	met	4.0	met
d926	reject past	disown past	lit	lit	3.0	lit
d927	corrupt mind	poison mind	lit	lit	4.0	met
d928	determine result	shape result	lit	lit	4.0	met
d929	drink alcohol	abuse alcohol	met	met	4.0	met
d930	fire destroy	fire devour	met	met	5.0	met
d931	have smile	wear smile	lit	tie	3.0	lit
d932	instill life	breathe life	met	met	4.0	met
d933	understand meaning	grasp meaning	met	tie	4.0	met
d934	invest money	pour money	lit	tie	4.0	met
d935	example show	example illustrate	lit	met	4.0	met
d936	believe story	buy story	met	tie	5.0	met
d937	drink alcohol	abuse alcohol	lit	tie	4.0	met
d938	improve economy	boost economy	met	tie	5.0	met
d939	address question	tackle question	lit	lit	4.0	met
d940	example show	example illustrate	met	tie	4.0	met
d941	story intrigue	story grab	lit	lit	4.5	met
d942	disclose report	leak report	lit	met	5.0	met
d943	saturate market	flood market	lit	met	4.0	met
d944	end agreement	break agreement	lit	lit	3.0	lit
d945	war displace	war uproot	lit	lit	4.0	met
d946	understand meaning	grasp meaning	lit	lit	5.0	met
d947	example show	example illustrate	lit	met	4.0	met
d948	pose question	frame question	met	lit	2.5	lit
d949	recall feeling	recapture feeling	met	met	4.0	met
d950	pose question	frame question	lit	met	4.0	met
d951	misinterpret word	twist word	lit	lit	4.0	met
d952	affect judgement	colour judgement	lit	tie	3.5	met
d953	decrease appetite	dull appetite	met	lit	3.0	lit
d954	end agreement	break agreement	met	met	4.0	met
d955	sell drug	push drug	met	lit	5.0	met
d956	painting represent	painting capture	lit	lit	4.5	met
d957	determine result	shape result	met	lit	3.0	lit
d958	invest money	pour money	met	lit	3.0	lit
d959	believe story	buy story	met	lit	4.0	met
d960	cause excitement	stir excitement	lit	met	4.0	met
d961	fate be	fate lie	met	tie	4.0	met
d962	example show	example illustrate	lit	met	2.5	lit
d963	colour match	colour harmonise	met	tie	3.5	met
d964	decrease appetite	dull appetite	met	met	4.0	met
d965	forget trouble	drown trouble	lit	lit	5.0	met
d966	understand meaning	grasp meaning	met	tie	5.0	met
d967	forget trouble	drown trouble	met	met	4.0	met
d968	drink alcohol	abuse alcohol	met	met	4.0	met
d969	sell drug	push drug	lit	met	4.0	met
d970	pose question	frame question	lit	lit	3.0	lit
d971	sell drug	push drug	lit	tie	4.0	met
d972	distinction disappear	distinction blur	lit	lit	4.0	met
d973	saturate market	flood market	met	lit	4.0	met
d974	forget trouble	drown trouble	met	met	4.5	met
d975	pose question	frame question	lit	lit	4.0	met
d976	moon appear	moon peep	lit	lit	4.0	met
d977	misinterpret word	twist word	met	met	4.0	met
d978	believe story	buy story	lit	met	4.0	met
d979	moon appear	moon peep	met	met	4.0	met
d980	end agreement	break agreement	lit	lit	4.0	met
d981	recall feeling	recapture feeling	met	met	3.5	met
d982	attract worker	suck worker	met	met	3.0	lit
d983	attract worker	suck worker	met	lit	3.0	lit
d984	get disease	catch disease	met	met	3.0	lit
d985	painting represent	painting capture	met	met	4.0	met
d986	factor affect	factor shape	lit	lit	3.0	lit
d987	recall feeling	recapture feeling	met	tie	4.0	met
d988	affect judgement	colour judgement	met	lit	4.0	met
d989	experience freedom	taste freedom	lit	lit	4.0	met
d990	drink alcohol	abuse alcohol	met	met	4.0	met
d991	experience freedom	taste freedom	met	met	5.0	met
d992	recall feeling	recapture feeling	met	lit	3.0	lit
d993	tension increase	tension mount	lit	tie	3.0	lit
d994	believe story	buy story	lit	lit	3.0	lit
d995	believe story	buy story	met	lit	3.5	met
d996	pose question	frame question	met	met	3.0	lit
d997	moon appear	moon peep	lit	lit	3.0	lit
d998	urge someone	push someone	met	lit	4.0	met
d999	instill life	breathe life	met	met	3.0	lit
d1000	saturate market	flood market	met	lit	2.5	lit
